Overall Quality,Above grade (ground) living area square feet,Number of cars in the garage,Total square feet,Total number of bathrooms,Square feet per room,Year built,output,flag,username,timestamp
5,1500,2,2500,3,1000,2010,"$223,101.14",,,2024-06-15 11:55:36.125434
5,1460,1.9,2500,3,1000,2010,,,,2024-06-15 11:55:47.683400
1,500,0,1000,1,500,1900,"$-17,604.05",,,2024-06-15 12:04:16.279984
8.45,1500,2,2500,3,1000,2010,,,,2024-08-24 00:39:57.284103
5,1500,2,2500,3,1000,2010,,,,2024-09-20 08:01:03.210575
6.8,3000,2,2500,4,1000,2015,"$313,347.77",,,2024-09-20 08:03:39.254059
5,1500,2,2500,3,1000,2010,,,,2024-10-25 08:06:05.615970
5,1500,2,2500,3.83,1000,2010,"$226,924.49",,,2024-10-25 08:06:09.497327
9,2500,2,3500,3,1000,2024,"$358,524.97",,,2024-10-25 08:10:49.651045
8.49,3090,2,2910,3,1000,2010,"$352,883.99",,,2025-02-07 07:09:49.599501
4.7,1500,2,2500,3,1000,2010,"$216,627.81",,,2025-02-07 07:11:17.533900
6.85,2190,2,2500,3,1000,2020,"$286,518.95",,,2025-06-07 12:31:10.883936
9.51,1970,2,4000,2,550,2010,"$321,728.81",,,2025-06-07 12:31:55.344636
